CobbleID,DistanceBetweenLegs,Y,S
5,16.52,8.26,0.76
5,16.52,8.26,1.53
5,16.52,8.26,1.67
5,16.52,8.26,1.8
5,16.52,8.26,0.72
5,16.52,8.26,0.79
5,16.52,8.26,1.72
5,16.52,8.26,2.16
5,16.52,8.26,1.45
5,16.52,8.26,0.98
5,16.52,8.26,0.68
5,16.52,8.26,0.72
5,16.52,8.26,0.68
5,16.52,8.26,1.67
5,16.52,8.26,1.93
5,16.52,8.26,0.68
5,16.52,8.26,0.56
5,16.52,8.26,1.25
5,16.52,8.26,3.2
5,16.52,8.26,2.17
5,16.52,8.26,0.99
5,16.52,8.26,1.08
5,16.52,8.26,1.97
5,16.52,8.26,1.59
5,16.52,8.26,1.04
5,16.52,8.26,1.27
5,16.52,8.26,1.61
5,16.52,8.26,0.32
5,16.52,8.26,0.31
5,16.52,8.26,0.42
5,16.52,8.26,1.29
5,16.52,8.26,1.47
5,16.52,8.26,0.88
5,16.52,8.26,1.56
5,16.52,8.26,0.66
5,16.52,8.26,1.01
5,16.52,8.26,0.64
5,16.52,8.26,0.42
5,16.52,8.26,0.33
5,16.52,8.26,0.81
5,16.52,8.26,1.82
5,16.52,8.26,2.25
5,16.52,8.26,1.8
5,16.52,8.26,0.61
5,16.52,8.26,0.42
5,16.52,8.26,0.51
5,16.52,8.26,0.68
5,16.52,8.26,1.2
5,16.52,8.26,1.8
5,16.52,8.26,1.33
5,16.52,8.26,1.78
5,16.52,8.26,0.58
5,16.52,8.26,0.86
5,16.52,8.26,0.63
5,16.52,8.26,1
5,16.52,8.26,1.15
5,16.52,8.26,2.23
5,16.52,8.26,1.29
5,16.52,8.26,0.87
5,16.52,8.26,2.48
5,16.52,8.26,1.88
5,16.52,8.26,1.21
5,16.52,8.26,1.48
5,16.52,8.26,2.2
5,16.52,8.26,0.23
5,16.52,8.26,0.78
5,16.52,8.26,0.34
5,16.52,8.26,1.61
5,16.52,8.26,2.6
5,16.52,8.26,0.66
5,16.52,8.26,0.32
5,16.52,8.26,0.59
5,16.52,8.26,0.8
5,16.52,8.26,2.31
5,16.52,8.26,1.81
5,16.52,8.26,1.79
5,16.52,8.26,0.25
5,16.52,8.26,0.3
5,16.52,8.26,0.89
5,16.52,8.26,2.1
5,16.52,8.26,2.94
5,16.52,8.26,0.6
5,16.52,8.26,0.13
5,16.52,8.26,0.79
5,16.52,8.26,1.45
5,16.52,8.26,1.45
5,16.52,8.26,0.69
5,16.52,8.26,0.5
5,16.52,8.26,0.89
5,16.52,8.26,1.16
5,16.52,8.26,1.6
5,16.52,8.26,1.11
5,16.52,8.26,0.29
5,16.52,8.26,0.61
5,16.52,8.26,0.22
5,16.52,8.26,1.44
5,16.52,8.26,1.18
6,16.52,8.26,4.82
6,16.52,8.26,1.66
6,16.52,8.26,0.32
6,16.52,8.26,0.97
6,16.52,8.26,1.91
6,16.52,8.26,1.42
6,16.52,8.26,0.76
6,16.52,8.26,0.16
6,16.52,8.26,0.28
6,16.52,8.26,4.43
6,16.52,8.26,4.64
6,16.52,8.26,0.94
6,16.52,8.26,0.03
6,16.52,8.26,0.54
6,16.52,8.26,1.42
6,16.52,8.26,1.41
6,16.52,8.26,3.3
6,16.52,8.26,0.64
6,16.52,8.26,0.26
6,16.52,8.26,1.2
6,16.52,8.26,1.53
6,16.52,8.26,0.97
6,16.52,8.26,4
6,16.52,8.26,0.98
6,16.52,8.26,0.35
6,16.52,8.26,0.06
6,16.52,8.26,0.1
6,16.52,8.26,1.63
6,16.52,8.26,2.14
6,16.52,8.26,3.98
6,16.52,8.26,1.02
6,16.52,8.26,0.23
6,16.52,8.26,0.04
6,16.52,8.26,1.43
6,16.52,8.26,2.25
6,16.52,8.26,4.85
6,16.52,8.26,0.26
6,16.52,8.26,0.03
6,16.52,8.26,0.45
6,16.52,8.26,1.8
6,16.52,8.26,1.91
6,16.52,8.26,4.63
6,16.52,8.26,1.07
6,16.52,8.26,0.18
6,16.52,8.26,0.44
